recipe_id,recipe_name,recipe_image,recipe_url,blog_url,ingredients_list,recipe_yield,calories,carbohydrates,protein,fiber,fat,potassium,phosphorus,sodium,labels
1,Breakfast Pizza,https://www.edamam.com/web-img/2cc/2cc78c72b75b0c31f6f2bbe6060acf24.jpg,http://leitesculinaria.com/94320/recipes-breakfast-pizza.html,http://www.edamam.com/recipe/breakfast-pizza-3b53c9a0508d5f707a0dfd525f1e4412/pizza,"{""12 slices thick-cut, applewood-smoked bacon"",""1 batch Pizza Dough"",""1/2 cup crème fraîche"",""1 cup Caramelized Onions"",""8 large eggs"",""2 cups shredded part-skim mozzarella cheese""}",14,256,10,12,1,18,145,186,417,"{Low-Carb,Sugar-Conscious,Peanut-Free,Tree-Nut-Free,Alcohol-Free}"
2,Pizza Frizza recipes,https://www.edamam.com/web-img/94a/94aeb549b29ac92dced2ac55765f38f9,http://www.marthastewart.com/284463/pizza-frizza,http://www.edamam.com/recipe/pizza-frizza-recipes-d7167bbdf03eb4b786684ab6a81d52b4/pizza,"{""1 Basic Pizza Dough"",sugar,oil}",4,164,29,5,2,3,63,59,349,"{Sugar-Conscious,Vegan,Vegetarian,Peanut-Free,Tree-Nut-Free,Alcohol-Free}"
3,Minted Fresh Peas,https://www.edamam.com/web-img/965/965185a351e24e42520ed5f0ae1ab1d7.jpg,http://leitesculinaria.com/73093/recipes-minted-fresh-peas.html,http://www.edamam.com/recipe/minted-fresh-peas-6fa10a53829bd24ca97b557d53b934b1/peas,"{""2 tablespoons unsalted butter, plus more to taste"",""1 1/2 pounds green peas in the pods, shelled (or, in a pinch, a 10- to 16-ounce package frozen peas)"",""1 to 2 tablespoons finely chopped fresh mint"",""Salt and freshly ground black pepper""}",4,190,25,9,9,6,427,187,415,"{Balanced,Vegetarian,Peanut-Free,Tree-Nut-Free,Alcohol-Free}"
4,Sausage and Radicchio Pizza Recipe,https://www.edamam.com/web-img/642/6422d16cebc8b2731aaa95bc2ed8265b.jpg,http://www.seriouseats.com/recipes/2013/10/sausage-radicchio-pizza-recipe.html,http://www.edamam.com/recipe/sausage-and-radicchio-pizza-recipe-4237587dafb21984b46ea705f8ef00f8/pizza,"{""1 recipe Neapolitan Pizza Dough, or 2 pounds store-bought pizza dough"",""1 (14-ounce) can whole peeled tomatoes, preferably San Marzano"",""Kosher salt"",""1 pound fresh mozzarella, torn into rough chunks and drained"",""12 ounces bulk sweet Italian sausage"",""1 medium head radicchio, roughly chopped"",""4 to 6 ounces grated Parmesan cheese"",""24 fresh basil leaves"",""1/4 cup extra-virgin olive oil""}",4,893,37,57,2,57,519,815,2041,"{Low-Carb,Sugar-Conscious,Peanut-Free,Tree-Nut-Free,Alcohol-Free}"
5,Milk Peas,https://www.edamam.com/web-img/800/8002ac5eeef852e8a6075291fbdc59a8.jpg,http://www.food52.com/recipes/11802_milk_peas,http://www.edamam.com/recipe/milk-peas-3ece6114847ddec1d156d118ef4c0f51/peas,"{""2 1/2 cups fresh peas"",""1 1/2 cup whole milk"",Salt,""4 pats unsalted butter"",""Freshly grated zest of 1/2 lemon"",""Freshly ground black pepper""}",4,169,19,8,5,7,361,178,453,"{Balanced,Vegetarian,Peanut-Free,Tree-Nut-Free,Alcohol-Free}"
6,Rainbow Ice Cream Pops Recipe,https://www.edamam.com/web-img/68e/68ef6ac70cb7ffbb08bf43a4a55be4e3.jpg,http://www.seriouseats.com/recipes/2012/07/rainbow-ice-cream-pops-recipe.html,http://www.edamam.com/recipe/rainbow-ice-cream-pops-recipe-7c5a5ced83523b4dc49adbc78471cc38/ice+cream,"{""3 tablespoons pink-tinted ice cream, softened"",""3 tablespoons orange-tinted ice cream, softened"",""3 tablespoons yellow-tinted ice cream, softened"",""3 tablespoons green-tinted ice cream, softened"",""3 tablespoons blue-tinted ice cream, softened"",""3 tablespoons violet-tinted ice cream, softened""}",4,77,9,1,0,4,74,39,30,"{Vegetarian,Peanut-Free,Tree-Nut-Free,Alcohol-Free}"
7,Vegetable Latkes,https://www.edamam.com/web-img/557/557bfc218154b8cdd9ea7cfce3c45730.jpg,http://www.marthastewart.com/314559/vegetable-latkes,http://www.edamam.com/recipe/vegetable-latkes-6110f9ecccc8e5c8e13da3df71bc5125/vegetable,"{""2 carrots (5 1/2 ounces)"",""2 parsnips (11 1/2 ounces)"",""1 Idaho potato (1 pound)"",""3 scallions, thinly sliced, white and light-green parts only"",""1/4 cup all-purpose flour"",""Salt and freshly ground black pepper"",""2 large eggs, lightly beaten"",""2 tablespoons vegetable oil"",""Sour cream, for garnish""}",6,176,25,5,5,7,543,116,443,"{Balanced,Vegetarian,Peanut-Free,Tree-Nut-Free,Alcohol-Free}"
8,Vegetable Curry,https://www.edamam.com/web-img/916/916871e9b23cb0e0de871621e6553f04.jpg,http://honestcooking.com/how-to-make-vegetable-curry/,http://www.edamam.com/recipe/vegetable-curry-5320bc370be0aee41fac6e3e9fa9b841/vegetable,"{""150g broccoli"",""150g cauliflower"",""100g carrot"",""100g long beans"",""200g pumpkin"",""1 onion"",""Few cherry tomatoes"",""1 tbsp garlic, chopped"",""1½ tbsp curry powder"",""1½ cup vegetable stock"",""200ml coconut milk"",""2 fresh chillies"",""¾ tsp salt and ½ tsp sugar, or to taste""}",2,365,41,10,11,22,1594,317,1007,"{Vegan,Vegetarian,Peanut-Free,Tree-Nut-Free,Alcohol-Free,Tree-Nuts}"
9,Japanese Vegetable Pancakes recipes,https://www.edamam.com/web-img/095/0956f1dba0c001333a4021df00389eab,https://smittenkitchen.com/2013/05/japanese-cabbage-and-vegetable-pancakes/,http://www.edamam.com/recipe/japanese-vegetable-pancakes-recipes-1bd8b554db3d1dbe01d99ae69ba92046/vegetable,"{""1/2 small head cabbage, very thinly sliced (1 pound or 5 to 6 cups shreds) which will be easiest on a mandoline if you have one"",""4 medium carrots, peeled into ribbons with a vegetable peeler"",""5 lacinato kale leaves, ribs removed, leaves cut into thin ribbons"",""4 scallions, thinly sliced on an angle"",""1 teaspoon kosher salt"",""1/2 cup all-purpose flour"",""6 large eggs, lightly beaten"",canola,""safflower oil"",""1/4 cup ketchup"",""1 1/2 tablespoons Worcestershire sauce (note: this is not vegetarian)"",""1/4 teaspoon dijon mustard"",""1 tablespoon rice cooking wine or sake"",""1 teaspoon soy sauce"",""1 tablespoon honey (use 2 if you like a sweeter sauce)"",""1/8 teaspoon ground ginger""}",2,692,74,29,11,33,1470,499,1495,"{Balanced,Peanut-Free,Tree-Nut-Free,Alcohol-Free}"
10,Vegetable Samosas,https://www.edamam.com/web-img/325/3259ff6690ee3ed44cd46562a85f9776.jpg,http://www.cookstr.com/recipes/vegetable-samosas,http://www.edamam.com/recipe/vegetable-samosas-760987395b48e87fa167522aab479eaa/vegetable,"{""½ tsp salt"",""2½ cups all-purpose flour , plus more for rolling the dough"",""6 tbsp vegetable oil , plus more for deep-frying"",""1 cup warm water , as needed""}",16,118,15,2,1,5,21,21,74,"{Sugar-Conscious,Vegan,Vegetarian,Peanut-Free,Tree-Nut-Free,Alcohol-Free}"
