1|Apple and Pear Chips|https://www.edamam.com/web-img/d71/d717dae754c18f601423b2f53166db74.jpg|http://www.marthastewart.com/313696/apple-and-pear-chips|http://www.edamam.com/recipe/apple-and-pear-chips-306cbb010205a195e4137e074f960889/apple|"{""1 apple"",""1 pear"",""3/4 cup sugar""}"|18|43|11|0|1|0|23|2|0|0|0
2|Grapefruit, carrot & apple juice|https://www.edamam.com/web-img/ba0/ba0a2fa6a0ca32b1012d576dda10479e.jpg|http://www.jamieoliver.com/recipes/fruit-recipes/grapefruit-carrot-apple-juice/|http://www.edamam.com/recipe/grapefruit-carrot-apple-juice-82f737589f47bc6a26ab0c8b70af3a86/apple|"{""½ a grapefruit"",""1 apple"",""3 medium carrots""}"|2|104|26|1|5|0|477|47|64|0|0
3|Apple Pielets|https://www.edamam.com/web-img/163/16309e82f0f3cf63676e69daad9f3826.jpg|http://doriegreenspan.com/2011/09/apple-pielets-a-sure-sign-of-autumn.html|http://www.edamam.com/recipe/apple-pielets-5ab2b778ae9db379fb00d16d70ab1851/apple|"{""Good For Almost Everything Pie Dough"",""2 medium apples, peeled, cored and cut into small cubes"",""1/4 cup applesauce (I'd just made some, but you could use storebought)"",""1/4 cup apple jelly (you could use other jam or marmalade)"",""1/4 cup plump raisins"",""1/4 cup plump dried cherries, halved"",""5 moist dried apricots, cut into small pieces"",""2 tablespoons sugar"",""Pinch cinnamon"",""1/4 teaspoon pure vanilla extract""}"|4|216|55|1|4|0|332|34|11|1|0
4|Blackberry + Apple Cocktail|https://www.edamam.com/web-img/ccc/cccff7df44dd1afa256d874c04a0882c.jpg|http://www.lottieanddoof.com/2012/09/lottie-doof-kelly-4/|http://www.edamam.com/recipe/blackberry-apple-cocktail-22992ab625529854ce3bbec07e2c7706/apple|"{""2 blackberries + 1 for garnish"",""2 ounces fresh apple cider—preferably fuji apple cider, but regular is great too"",""1/2 ounce simple syrup"",""1/2 ounce fresh lemon juice"",""1 1/2 ounce bourbon"",""1 tablespoon cinnamon sugar, for the rim""}"|2|111|15|0|0|0|41|4|5|0|0
5|Hot Apple Pie|https://www.edamam.com/web-img/0e2/0e29c6c3bc052d822d960915b54a3bc1.jpg|https://food52.com/recipes/8360-hot-apple-pie|http://www.edamam.com/recipe/hot-apple-pie-7826d755880ffcb33a2f43a6d2cbd1ff/apple|"{""1 shot tuaca liqueur"",""1 cup hot apple cider""}"|1|289|52|0|0|0|266|20|14|0|0
6|Apple Elixir Recipe|https://www.edamam.com/web-img/efe/efe1546ab8593aaa62ed4fac11838f35.jpg|http://www.seriouseats.com/recipes/2014/09/apple-elixir-cocktail-recipe.html|http://www.edamam.com/recipe/apple-elixir-recipe-efc78b450655c26cf4819f87dab2987c/apple|"{""For the Spiced Cider Concentrate:"",""4 cups fresh apple cider"",""2 cinnamon sticks"",""4 allspice berries, whole"",""1 teaspoon cloves, whole"",""2 teaspoons black peppercorns, whole"",""For the Cocktail:"",""2 ounces Laird's Bonded Apple Brandy"",""1 ounce apple cider concentrate syrup"",""1/2 ounce freshly squeezed lemon juice from about half a lemon"",""4 ounces hard cider such as Samuel Smith’s Organic Cider"",""Apple slice or apple chip for garnish (optional)""}"|4|192|40|1|2|1|348|26|15|1|0
7|Apple Fennel Granita|https://www.edamam.com/web-img/377/37782b90b3d1c566eb7360f9c3713fc7.jpg|http://www.epicurious.com/recipes/food/views/Apple-Fennel-Granita-106539|http://www.edamam.com/recipe/apple-fennel-granita-2bdefb60f86458dfa15d9b3bc74a001f/apple|"{""1 teaspoon fennel seeds, toasted"",""3 cups sparkling apple cider (not hard) or apple juice"",""1 1/2 tablespoons superfine granulated sugar""}"|6|70|17|0|0|0|131|10|5|0|0
8|Apple Chutney|https://www.edamam.com/web-img/145/145e8aa211f475bbbe724222688b9d77.jpg|http://www.simplyrecipes.com/recipes/apple_chutney/|http://www.edamam.com/recipe/apple-chutney-d2b3a58c917deb6f6ac24234ea2cb0fc/apple|"{""2 large tart cooking apples, peeled, cored, and chopped"",""1/2 cup chopped onion"",""1/4 cup apple cider vinegar"",""1/4 cup brown sugar"",""1 Tbsp grated orange peel"",""1 Tbsp grated fresh ginger"",""1/2 teaspoon ground cinnamon""}"|2|193|49|1|6|0|321|37|11|1|0
9|Apple-Lemon-Ginger Juice|https://www.edamam.com/web-img/184/184c38df36206ae9374cd8e7957d85b1.jpg|https://www.chowhound.com/recipes/healthy-juice-apple-lemon-ginger-31229|http://www.edamam.com/recipe/apple-lemon-ginger-juice-733ed0d22ad7f737ef9d149726a303ff/apple|"{""1 Fuji apple, preferably unwaxed"",""1 Granny Smith apple, preferably unwaxed"",""1 lemon, peeled (including the white pith)"",""1 (1/2-inch) piece fresh ginger, peeled""}"|1|254|62|2|11|1|567|61|7|1|0
10|Apple Herring|https://www.edamam.com/web-img/107/107fad19d13d622df25a956fe14dafbe.jpg|http://www.bbcgoodfood.com/recipes/91600/apple-herring|http://www.edamam.com/recipe/apple-herring-619f45891723fc93ccf56854982f2474/apple|"{""2 tbsp bread crumbs"",""30 g butter"",""50 ml capers"",""Salt, pepper"",""1 apple"",""1 onion"",""8 herrings fillets"",""Oil for buttering dish""}"|4|742|12|67|2|46|1309|891|1088|4|12
11|Mango Frozen Yogurt|https://www.edamam.com/web-img/d28/d2831bd1830af77c54199cdc36ad3457.jpg|http://leitesculinaria.com/96523/recipes-mango-frozen-yogurt.html|http://www.edamam.com/recipe/mango-frozen-yogurt-9afc21dcbb4e677ced322412874a8263/mango|"{""16 to 24 ounces mango (3 smallish mangoes or 1 package frozen mango chunks)"",""1/3 cup (3 ounces) vanilla yogurt"",""1 tablespoon honey""}"|2|238|57|4|5|2|575|98|31|1|1
12|Mango-Orange Bellini Recipe|https://www.edamam.com/web-img/ff3/ff32b5a61e62da447197f926661f1198.jpg|http://www.seriouseats.com/recipes/2013/05/mango-orange-bellini-sparkling-wine-brunch-cocktail-recipe.html|http://www.edamam.com/recipe/mango-orange-bellini-recipe-74d20bdef615ff87feaaeb1b8931c046/mango|"{""1 cup diced ripe mango, from 1 mango"",""1 1/2 cups freshly squeezed orange juice, from 3 oranges"",""1 bottle (750 ml) dry sparkling wine for every 5 drinks, chilled"",""1 lime, cut into wedges""}"|4|224|22|1|1|0|405|58|11|1|0
13|Mango Lassi|https://www.edamam.com/web-img/fb8/fb874d17c4ef9ed04bd4ce5117a10676.jpg|http://www.simplyrecipes.com/recipes/mango_lassi/|http://www.edamam.com/recipe/mango-lassi-a80fb694a095f371fc642369a80d9b8b/mango|"{""1 cup plain yogurt"",""1/2 cup milk"",""1 cup chopped very ripe mango (see how to peel and chop mango), frozen chopped mango, or a cup of canned mango pulp"",""4 teaspoons honey or sugar, more or less to taste"",""A dash of ground cardamom (optional)"",""Ice (optional)""}"|4|102|16|3|1|3|208|90|42|0|2
14|Mango Frozen Yogurt|https://www.edamam.com/web-img/e1d/e1d0e7c34827f45ee5e4e68b36305656.jpg|https://travelerslunchbox.com/2005/05/25/a-mango-by-any-other-name/|http://www.edamam.com/recipe/mango-frozen-yogurt-cad980dad8a4d423e5cb9e41ab9d6ab3/mango|"{""1 cup diced frozen mango"",""1/3 cup yogurt"",""2 tbs superfine sugar"",""1 tbs lemon or lime juice""}"|4|67|15|1|1|1|106|26|10|0|0
15|Mango Riesling Glaze|https://www.edamam.com/web-img/528/52853267eb8ae8e93ac955a526317f7f.jpg|http://norecipes.com/roast-duck-with-mango-riesling-glaze|http://www.edamam.com/recipe/mango-riesling-glaze-afa29a430815bf43a73ffc00a21b9d50/mango|"{""3/4 c mango pureed"",""1/3 c off-dry riesling"",""1 tbs dark brown sugar"",""1 tbs hoisin sauce"",""Fresh ground black pepper""}"|2|104|19|1|1|1|124|12|131|0|0
16|Raspado De Mango (Mango Ice)|https://www.edamam.com/web-img/8b0/8b0ff863d485bb2800c65b28666a748c.jpg|http://www.saveur.com/article/Recipes/Mexico-Mango-Ice|http://www.edamam.com/recipe/raspado-de-mango-mango-ice-329234de3e1d25d146c535dc4e7bbe12/mango|"{""4 cups bottled or fresh mango juice or nectar"",""1 cup sugar"",""Â½ tsp. kosher salt"",""2 tbsp. fresh lime juice""}"|6|216|56|0|1|0|47|4|166|1|0
17|Mango Mimosa|https://www.edamam.com/web-img/ff2/ff2d2ed905fb66df794f6618a645c486.jpg|http://www.delish.com/cooking/recipe-ideas/recipes/a31536/mango-mimosa-recipe-clv0511/|http://www.edamam.com/recipe/mango-mimosa-c087569ee425061b54a860f26efdd988/mango|"{""4 mangoes"",""1 mango"",""1 bottle Champagne""}"|8|203|34|2|3|1|419|46|7|1|0
18|Broiled Mango|https://www.edamam.com/web-img/e76/e7663fc9a84fe4f249eea384c000f063.JPG|http://www.eatingwell.com/recipe/249385/broiled-mango|http://www.edamam.com/recipe/broiled-mango-6d08b9f2274439b0c136d2a65ed21681/mango|"{""1 mango, peeled and sliced (see tip)"",""Lime wedges""}"|2|102|26|1|3|1|287|24|2|0|0
19|Mango guacamole|https://www.edamam.com/web-img/393/3937aa456f4dcb364b211045422af2c6.jpg|https://food52.com/recipes/8982-mango-guacamole|http://www.edamam.com/recipe/mango-guacamole-40680c912eb33456056c608e8cff2728/mango|"{""2 avocadoes"",""1 mango"",""1/2 red onion"",""1 handful cilantro"",""1 jalapeno pepper"",""1 lime""}"|1|895|99|12|36|60|2740|293|39|3|9
20|Mango Margaritas|https://www.edamam.com/web-img/190/190f5d3954bd1e3b0fa94e3d0d6a65e5.jpg|http://thepioneerwoman.com/cooking/2012/08/mango-margaritas/|http://www.edamam.com/recipe/mango-margaritas-8c7875274744f4714db404b5d4d111aa/mango|"{""2 whole Limes"",""2 Tablespoons Coarse Sugar (decorator"",""2 jars (20 Ounce) Mango Chunks, Drained"",""1-1/2 cup Tequila"",""1-1/2 cup Triple Sec"",""1/4 cup Sugar""}"|8|341|39|1|2|0|153|18|6|0|0
21|Avocado Mash|https://www.edamam.com/web-img/5b0/5b03274bcc5f8859a5b4e8cd3643a856.jpg|http://www.marthastewart.com/1050719/avocado-mash|http://www.edamam.com/recipe/avocado-mash-e8b751a7fdf6e7a764ae8b5e0698ec02/avocado|"{""1/2 avocado, mashed"",""Juice of 1 lemon wedge"",""Pinch cayenne pepper"",""Coarse salt""}"|2|82|5|1|4|7|253|27|126|0|1
22|Avocado Crema|https://www.edamam.com/web-img/637/637c6021c685392c51db5c0ffb2c7cb3.jpg|http://www.saveur.com/article/Recipes/Avocado-Crema|http://www.edamam.com/recipe/avocado-crema-9d2cd31fb0cc43333375580d3c46db3d/avocado|"{""1 cup sour cream or crema"",""1 avocado, peeled, pitted, and cubed"",""Kosher salt and freshly ground black pepper, to taste""}"|4|192|6|2|3|19|329|93|251|0|8
23|Grapefruit And Avocado Salad|https://www.edamam.com/web-img/30a/30ab9fca827b087732c80dc9b69b3190.jpg|http://notwithoutsalt.com/dating-my-husband-when-it-comes-easy/|http://www.edamam.com/recipe/grapefruit-and-avocado-salad-3a7b814ba5e9fdd90894d43483d411df/avocado|"{""1 ruby red grapefruit"",""1 tbsp champagne vinegar"",""3 tbsps extra-virgin olive oil"",""1 pinch chile flakes"",""1 avocado, peeled and quartered"",""1 head butter lettuce"",""2 tbsps chopped fresh chives""}"|2|405|24|4|10|35|861|104|12|2|5
24|Tuna Avocado Tartare Recipe|https://www.edamam.com/web-img/fea/fea52db0f638d82c79f79c06fc562cb2.jpg|http://www.seriouseats.com/recipes/2011/07/tuna-avocado-tartare-recipe.html|http://www.edamam.com/recipe/tuna-avocado-tartare-recipe-fe151b780f3d1e796e2bad5a418538eb/avocado|"{""1 pound sushi grade yellow fin tuna, cut into 1/2-inch pieces"",""1 avocado, cut into 1/4 pieces"",""1/2 cup diced red onion"",""1 clove garlic, minced"",""1 tablespoon capers"",""1/2 cup fresh lime juice"",""1/3 cup chopped cilantro"",""Salt and pepper""}"|4|223|10|29|4|8|828|354|509|1|1
25|Avocado hummus|https://www.edamam.com/web-img/d82/d82550a92e97e2204861121d98ac9a17.jpg|http://www.bbc.co.uk/food/recipes/avocadohummus_92444|http://www.edamam.com/recipe/avocado-hummus-edf33ba78e4b4b40acf65184e49d62a4/avocado|"{""1 ripe avocado, cut in half, skin and stone removed"",""1 x 400g/14oz can chickpeas, drained and rinsed"",""1 garlic clove, peeled, finely chopped"",""1-2 lemons, juice only"",""½ tsp tabasco"",""½ tsp ground cumin"",""Sea salt, to taste"",""6 ready-made pitta breads, to serve""}"|6|273|44|10|10|8|343|160|374|2|1
26|Avocado Asparagus Tartine|https://www.edamam.com/web-img/ad0/ad04dd9bf6c7170e1dc00602a7415aca.jpg|http://www.101cookbooks.com/archives/avocado-asparagus-tartine-recipe.html|http://www.edamam.com/recipe/avocado-asparagus-tartine-bf6a005c99e93c74d96d01fcea65a341/avocado|"{""4 toasted slabs of whole grain bread, rubbed with olive oil and a bit of garlic"",""1/2 tablespoon olive oil"",""1/2 lb of asparagus stalks, trimmed roughly the length of your bread"",""1 clove garlic, thinly sliced"",""1/2 teaspoon caraway seeds"",""1 avocado, pitted and smashed"",""a couple handfuls of arugula, tossed in a bit of olive oil"",""a handful of toasted pepitas, or almonds, or sunflower seeds""}"|3|386|21|7|8|32|560|151|109|3|5
27|Avocado Pesto|https://www.edamam.com/web-img/352/352327bbb5dfab751d0e36854f022373.JPG|https://food52.com/recipes/17892-avocado-pesto|http://www.edamam.com/recipe/avocado-pesto-e73a66219027ebff26a621a5fdfd553b/avocado|"{""1 avocado"",""2 limes, zested and juiced"",""1/4 cup pine nuts"",""1/4 cup grated parmesan"",""1 cup arugula"",""1 cup basil"",""3 tablespoons extra virgin olive oil"",""1 clove garlic""}"|2|536|19|11|10|50|748|274|207|3|8
28|Creamy Avocado Milkshake|https://www.edamam.com/web-img/64d/64d1f512d9b1372c0732da8f4c501a10.jpg|http://www.travelerslunchbox.com/journal/2006/5/31/the-secret-life-of-avocados.html|http://www.edamam.com/recipe/creamy-avocado-milkshake-af7f66e593d08894a420fa09a859c882/avocado|"{""1 x ripe Haas avocado, peeled and pitted"",""4 tbsp sweetened condensed milk"",""1 cup cold milk, more or less depending on thickness desired"",""few drops orange extract, or some vanilla, rum or coffee (optional)"",""crushed ice and additional sweetened condensed milk for serving""}"|2|358|35|9|7|22|790|251|108|1|7
